,wine_quality
418,True
1500,False
197,True
751,False
1423,False
992,True
1069,False
1073,True
316,False
1560,False
1442,False
655,False
922,True
608,True
860,False
1305,False
605,True
720,False
546,True
652,False
1388,False
1338,False
1200,True
719,False
273,False
1331,False
171,True
466,True
1534,True
1342,True
75,False
1328,False
1329,True
127,False
215,False
15,False
183,False
541,True
1549,True
1270,True
351,True
1518,False
857,True
1377,True
223,True
876,False
150,True
1076,True
1025,True
942,True
1308,False
1466,True
753,False
1585,True
411,False
1563,False
511,True
1395,True
1488,False
1122,True
74,False
1409,True
80,False
697,True
887,True
533,True
1507,True
994,False
1180,True
810,False
1519,False
377,True
1545,True
572,False
1484,False
612,True
571,True
1440,True
1339,True
603,True
26,False
1033,True
252,False
1263,False
164,False
634,False
87,False
256,False
1228,True
1148,True
439,False
30,False
1376,False
319,True
833,False
1578,True
1132,True
68,False
285,False
927,False
329,False
1046,True
693,False
139,False
682,False
1009,False
1107,True
1458,False
549,True
367,False
782,False
109,False
170,False
354,True
1259,True
1171,True
276,True
1203,False
9,False
918,True
1290,False
383,True
792,True
14,False
1071,False
1451,True
1483,False
906,False
664,False
666,True
1444,True
1184,False
1264,True
1153,True
433,False
1425,True
524,False
755,True
814,True
396,False
1222,True
289,False
1317,True
796,False
1304,False
628,True
856,True
321,False
65,False
1351,True
1477,True
1346,False
1256,False
675,False
1138,False
186,False
430,True
249,True
621,False
1564,False
1260,False
778,False
552,True
1336,False
556,True
869,True
568,True
492,True
966,True
834,False
744,False
1002,True
50,False
1401,False
33,True
279,True
454,False
515,False
18,False
984,False
310,True
1404,True
1023,True
1481,False
1145,True
1298,True
1380,True
777,True
1418,False
350,True
560,False
935,True
793,False
1494,True
855,True
1433,True
90,False
559,True
246,False
811,True
899,False
1554,True
900,False
1078,False
118,True
1422,True
1580,True
176,False
194,False
1385,False
1074,False
1456,True
236,True
1424,True
1372,False
625,False
1287,False
620,False
1249,True
668,False
791,False
723,False
959,False
674,True
38,False
1064,True
1105,False
177,True
579,True
535,True
1021,True
1296,False
954,True
258,False
332,True
739,False
781,False
322,False
149,True
465,False
1152,False
1596,True
711,False
879,False
538,True
414,False
495,True
702,True
815,False
327,False
1367,True
892,True
914,True
1238,False
1133,True
1166,False
25,False
1266,True
1271,True
596,True
311,True
1366,False
1341,True
1157,True
295,False
93,False
590,False
1126,True
349,True
115,True
1130,True
358,True
187,False
201,False
531,False
948,True
330,True
1499,True
704,False
472,True
794,True
926,True
226,True
1575,True
1589,False
267,True
24,True
685,False
1410,True
550,True
985,True
1221,True
291,False
162,True
275,True
797,True
1254,False
701,True
45,False
1514,True
627,False
724,False
812,False
331,True
1112,True
771,False
189,False
1393,False
62,True
91,True
165,False
1004,False
1030,True
17,False
1066,True
313,False
429,True
718,False
359,True
813,False
121,True
1469,False
1531,False
72,False
689,False
52,True
445,True
182,False
504,True
609,True
1593,True
1325,True
298,False
483,False
938,True
1194,True
1055,True
1321,True
67,False
1535,True
1461,False
1014,True
458,True
904,True
1394,False
463,False
650,False
785,False
735,False
1434,True
998,True
1000,True
1565,True
961,False
669,True
1040,False
2,False
730,False
28,False
518,True
57,False
250,True
1364,True
482,False
272,False
1506,True
1517,True
11,False
1164,False
1315,True
153,False
1386,False
1577,True
202,False
863,False
1061,True
1553,False
1320,False
931,False
657,True
145,False
1093,True
776,True
623,True
473,False
1280,True
738,False
594,False
868,True
98,False
248,True
132,False
81,False
129,False
615,False
61,False
610,False
672,False
1436,False
407,True
1435,True
479,True
270,True
852,False
453,True
146,False
709,True
754,True
1476,False
135,False
1083,True
399,False
1261,False
39,False
1452,True
917,True
706,False
456,False
1232,False
489,True
964,True
522,False
1552,True
1108,False
589,True
413,True
1165,False
410,True
1457,False
826,True
0,False
683,False
1169,True
1111,True
340,True
264,False
1142,True
1416,False
369,True
288,True
1526,True
1301,True
317,True
980,True
282,False
1125,True
789,False
113,True
5,False
6,False
698,False
1413,False
1486,False
1250,True
532,False
389,True
1316,True
1279,True
521,False
293,True
1293,False
103,False
